Msg Index	lot type	substrate type	material type	process step name	tool name	panel count	defectivity	processing time	job ID	elapsed time
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	241.1428571428572	6	38256.19047619047
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	49.5	6	38305.69047619047
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	2879.333333333332	2	38359.66666666666
0	FDC39B	Polyimide	aSi	CONTACT PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	1215.0	0	39356.04761904762
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	8.0	68.6666666666668	2	39424.71428571428
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	5612.0	3	39597.333333333336
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	258.5	3	39855.833333333336
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	483.0	4	40080.333333333336
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	62.2857142857144	4	40142.61904761905
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	240.5714285714284	5	40320.90476190476
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	660.5	6	40981.40476190476
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	716.666666666668	5	41037.571428571435
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	3033.714285714284	1	41174.7619047619
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	528.0	6	41565.571428571435
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	716.666666666668	1	42282.238095238106
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	6.0	40.6666666666668	1	42322.90476190477
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	258.5	1	42581.40476190477
0	FDC39B	Polyimide	aSi	CONTACT ETCH, GEN II	AKT1600B-209	4	-1.0	1474.0	0	42648.7619047619
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	2835.5	3	42691.333333333336
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	9.0	68.6666666666668	3	42760.0
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	194.5	1	42775.90476190477
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	203.5	0	42852.2619047619
0	FDC39B	Polyimide	aSi	CONTACT ETCH ORBOTECH INSPECTION	Orbotech-203D	4	8.0	53.7142857142856	0	42905.97619047618
